Ensembl.gene.ID	Ensembl.transcript.ID	RefSeq.mRNA.ID	Gene.name	UCSC.ID
ENSG00000113648	ENST00000304332	NM_004893	H2AFY	uc003lat.2
ENSG00000113648	ENST00000312469	NM_138609	H2AFY	uc003lan.2
ENSG00000113648	ENST00000511689	NM_138610	H2AFY	uc003lam.2
ENSG00000224186	ENST00000624272	NM_001277348	C5orf66	uc003laj.3
ENSG00000152705	ENST00000282611	NM_178019	CATSPER3	uc003lag.3
ENSG00000113621	ENST00000358387	NM_001350735	TXNDC15	uc003lac.2
ENSG00000113621	ENST00000358387	NM_024715	TXNDC15	uc003lac.2
ENSG00000181904	ENST00000394976	NM_001135586	C5orf24	uc003kzz.4
ENSG00000181904	ENST00000504727	NM_001300894	C5orf24	uc003kzy.5
ENSG00000181904	ENST00000338051	NM_152409	C5orf24	uc003kzx.4
ENSG00000145833	ENST00000354283	NM_014829	DDX46	uc003kzw.5
ENSG00000164615	ENST00000297156	NM_001745	CAMLG	uc003kzt.4
ENSG00000113615	ENST00000398844	NM_021982	SEC24A	uc003kzs.4
ENSG00000152700	ENST00000402673	NM_016103	SAR1B	uc003kzr.4
ENSG00000152700	ENST00000439578	NM_001033503	SAR1B	uc003kzq.4
ENSG00000043143	ENST00000395003	NM_015288	JADE2	uc003kzo.2
ENSG00000043143	ENST00000361895	NM_001289984	JADE2	uc003kzm.3
ENSG00000043143	ENST00000282605	NM_001289985	JADE2	uc003kzk.3
ENSG00000043143	ENST00000282605	NM_001308143	JADE2	uc003kzk.3
ENSG00000119048	ENST00000265339	NM_003337	UBE2B	uc003kzh.4
ENSG00000006837	ENST00000265334	NM_001113575	CDKL3	uc003kzf.5
ENSG00000113575	ENST00000481195	NM_001355019	PPP2CA	uc003kze.4
ENSG00000113575	ENST00000481195	NM_002715	PPP2CA	uc003kze.4
ENSG00000113558	ENST00000522552	NM_006930	SKP1	uc003kzd.5
ENSG00000113558	ENST00000353411	NM_170679	SKP1	uc003kzc.5
ENSG00000081059	ENST00000395023	NM_201632	TCF7	uc003kyw.4
ENSG00000081059	ENST00000395023	NM_213648	TCF7	uc003kyw.4
ENSG00000081059	ENST00000378560	NM_201634	TCF7	uc003kyv.3
ENSG00000081059	ENST00000378560	NM_001346450	TCF7	uc003kyv.3
ENSG00000081059	ENST00000518915	NM_001134851	TCF7	uc003kyu.3
ENSG00000081059	ENST00000342854	NM_003202	TCF7	uc003kyt.4
ENSG00000081059	ENST00000342854	NM_001346425	TCF7	uc003kyt.4
ENSG00000213585	ENST00000265333	NM_003374	VDAC1	uc003kyr.3
ENSG00000113583	ENST00000231512	NM_020199	C5orf15	uc003kyo.4
ENSG00000053108	ENST00000265342	NM_015082	FSTL4	uc003kyn.2
ENSG00000170606	ENST00000304858	NM_002154	HSPA4	uc003kyj.4
ENSG00000155329	ENST00000509437	NM_001308127	ZCCHC10	uc003kyh.4
ENSG00000155329	ENST00000509437	NM_001300816	ZCCHC10	uc003kyh.4
ENSG00000155329	ENST00000509437	NM_001300818	ZCCHC10	uc003kyh.4
ENSG00000155329	ENST00000324170	NM_017665	ZCCHC10	uc003kyg.4
ENSG00000155329	ENST00000324170	NM_001308128	ZCCHC10	uc003kyg.4
ENSG00000072364	ENST00000265343	NM_014423	AFF4	uc003kyd.4
ENSG00000164406	ENST00000296877	NM_052971	LEAP2	uc003kyc.4
ENSG00000164404	ENST00000378673	NM_005260	GDF9	uc003kxz.3
ENSG00000164403	ENST00000319854	NM_133456	SHROOM1	uc003kxy.3
ENSG00000164403	ENST00000378679	NM_001172700	SHROOM1	uc003kxx.3
ENSG00000198944	ENST00000378693	NM_175873	SOWAHA	uc003kxw.4
ENSG00000164402	ENST00000378701	NM_001300798	SEPT8	uc003kxv.3
ENSG00000164402	ENST00000458488	NM_001098812	SEPT8	uc003kxu.3
ENSG00000164402	ENST00000448933	NM_001098813	SEPT8	uc003kxt.2
ENSG00000164402	ENST00000296873	NM_015146	SEPT8	uc003kxs.2
ENSG00000164402	ENST00000296873	NM_001300799	SEPT8	uc003kxs.2
ENSG00000164402	ENST00000378719	NM_001098811	SEPT8	uc003kxr.2
ENSG00000205089	ENST00000378731	NM_001039780	CCNI2	uc003kxq.3
ENSG00000205089	ENST00000378731	NM_001287253	CCNI2	uc003kxq.3
